Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_00074	hypothetical protein FVEG_00074					"G3DSA:2.80.10.50 (GENE3D),  IPR000772 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00075	hypothetical protein FVEG_00075					"TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00076	hypothetical protein FVEG_00076					"PF13577 (PFAM), G3DSA:3.10.450.50 (GENE3D),  SSF54427 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00077	related to tri201-trichothecene 3-o-acetyltransferase	GO:0016747	"transferase activity, transferring acyl groups other than amino-acyl groups"	F		"IPR003480 (PFAM), IPR023213 (G3DSA:3.30.559.GENE3D), PTHR31896 (PANTHER),  PTHR31896:SF2 (PANTHER)"	F:GO:0016747	"F:transferase activity, transferring acyl groups other than amino-acyl groups"
FVEG_00078	related to integral membrane protein pth11					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00079	polyketide synthase	"GO:0008270, GO:0016491, GO:0055114,  GO:0016747"	"zinc ion binding, oxidoreductase activity, oxidation-reduction process,  transferase activity, transferring acyl groups other than amino-acyl groups"	"F, F, P,  F"		"IPR020843 (SMART), IPR020801 (SMART), IPR020842 (SMART), IPR020807 (SMART), IPR020841 (SMART), IPR029063 (G3DSA:3.40.50.GENE3D), IPR014030 (PFAM), IPR009081 (G3DSA:1.10.1200.GENE3D), IPR013217 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), IPR014043 (PFAM), IPR013149 (PFAM), IPR011032 (G3DSA:3.90.180.GENE3D), IPR009081 (PFAM), PF14765 (PFAM), IPR013968 (PFAM), IPR001227 (G3DSA:3.40.366.GENE3D), IPR014031 (PFAM), IPR016038 (G3DSA:3.40.47.GENE3D), PTHR11712 (PANTHER), PTHR11712:SF225 (PANTHER), IPR006162 (PROSITE_PATTERNS), IPR018201 (PROSITE_PATTERNS), IPR009081 (PROSITE_PROFILES), IPR016036 (SUPERFAMILY), SSF51735 (SUPERFAMILY), IPR011032 (SUPERFAMILY), IPR009081 (SUPERFAMILY), IPR016035 (SUPERFAMILY), IPR016039 (SUPERFAMILY),  IPR029063 (SUPERFAMILY)"	"F:GO:0016747, F:GO:0016491, F:GO:0008270, P:GO:0055114, F:GO:0016740, P:GO:0008152,  F:GO:0003824"	"F:transferase activity, transferring acyl groups other than amino-acyl groups, F:oxidoreductase activity, F:zinc ion binding, P:oxidation-reduction process, F:transferase activity, P:metabolic process, F:catalytic activity"
FVEG_00083	serine threonine protein kinase	"GO:0006468, GO:0004672,  GO:0005524"	"protein phosphorylation, protein kinase activity,  ATP binding"	"P, F,  F"		"IPR000719 (PFAM), G3DSA:1.10.510.10 (GENE3D), PTHR24362 (PANTHER), PTHR24362:SF240 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR000719 (PROSITE_PROFILES), IPR011009 (SUPERFAMILY), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0006468, F:GO:0004672, F:GO:0005524,  F:GO:0016772"	"P:protein phosphorylation, F:protein kinase activity, F:ATP binding, F:transferase activity, transferring phosphorus-containing groups"
FVEG_00084	chitin synthase g	"GO:0006031,  GO:0004100"	"chitin biosynthetic process,  chitin synthase activity"	"P,  F"		"Coil (COILS), IPR004834 (PFAM), IPR013616 (PFAM), PTHR22914:SF9 (PANTHER), IPR004835 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR004834 (PRODOM), IPR029044 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0006031, F:GO:0004100,  F:GO:0016758"	"P:chitin biosynthetic process, F:chitin synthase activity, F:transferase activity, transferring hexosyl groups"
FVEG_00097	sgnh hydrolase	GO:0008237	metallopeptidase activity	F		"IPR024079 (G3DSA:3.40.390.GENE3D), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SSF55486 (SUPERFAMILY)"	F:GO:0008237	F:metallopeptidase activity
FVEG_00112	hypothetical protein FVEG_00112					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00120	secreted protein					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-TM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00121	hypothetical protein FVEG_00121	GO:0008237	metallopeptidase activity	F		"Coil (COILS), IPR024079 (G3DSA:3.40.390.GENE3D), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  SignalP-noTM (SIGNALP_GRAM_NEGATIVE)"	F:GO:0008237	F:metallopeptidase activity
FVEG_00129	related to flavin-containing monooxygenase	GO:0005488	binding	F		IPR010730 (PFAM)	no GO terms	no GO terms
FVEG_00132	hypothetical protein FVEG_00132					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_00133	related to hsp70 protein					"IPR013126 (PRINTS), IPR013126 (PFAM), G3DSA:3.30.420.40 (GENE3D), PTHR19375 (PANTHER), PTHR19375:SF94 (PANTHER),  SSF53067 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00134	hypothetical protein FVEG_00134					Coil (COILS)	no GO terms	no GO terms
FVEG_00146	lysophospholipase-like protein					"IPR029058 (G3DSA:3.40.50.GENE3D), IPR029059 (PFAM), PTHR11614 (PANTHER),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00161	hypothetical protein FVEG_00161					no IPS match	no IPS match	no IPS match
FVEG_00162	bacteriodes thetaiotaomicron symbiotic chitinase					no IPS match	no IPS match	no IPS match
FVEG_00166	hypothetical protein FVEG_00166					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_00192	glutamine synthetase	"GO:0004356, GO:0006542,  GO:0009252"	"glutamate-ammonia ligase activity, glutamine biosynthetic process,  peptidoglycan biosynthetic process"	"F, P,  P"	EC:6.3.1.2	"IPR008146 (PFAM), IPR008147 (G3DSA:3.10.20.GENE3D), IPR014746 (G3DSA:3.30.590.GENE3D), PTHR20852 (PANTHER), PTHR20852:SF35 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SSF55931 (SUPERFAMILY),  IPR008147 (SUPERFAMILY)"	"F:GO:0004356, P:GO:0006807, P:GO:0006542,  F:GO:0003824"	"F:glutamate-ammonia ligase activity, P:nitrogen compound metabolic process, P:glutamine biosynthetic process, F:catalytic activity"
FVEG_00193	trans-aconitate 2-methyltransferase					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108 (PANTHER), PTHR10108:SF724 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00194	hypothetical protein FVEG_00194					no IPS match	no IPS match	no IPS match
FVEG_00195	ubiquitin thioesterase otubain-like protein					"IPR019400 (PFAM), PTHR12931 (PANTHER), IPR003323 (PROSITE_PROFILES),  SSF54001 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00216	related to integral membrane protein pth11	"GO:0004672,  GO:0000166"	"protein kinase activity,  nucleotide binding"	"F,  F"		"TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00224	hypothetical protein FVEG_00224					IPR010281 (PFAM)	no GO terms	no GO terms
FVEG_00236	solute carrier family 6 protein	"GO:0016021, GO:0005328, GO:0006836,  GO:0006812"	"integral component of membrane, neurotransmitter:sodium symporter activity, neurotransmitter transport,  cation transport"	"C, F, P,  P"		"IPR000175 (PRINTS), IPR000175 (PFAM), IPR000175 (PANTHER), PTHR11616:SF107 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR000175 (PROSITE_PROFILES), SSF161070 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021, P:GO:0006836,  F:GO:0005328"	"C:integral component of membrane, P:neurotransmitter transport, F:neurotransmitter:sodium symporter activity"
FVEG_00251	related to acetyltransferase	"GO:0008080,  GO:0042967"	"N-acetyltransferase activity,  acyl-carrier-protein biosynthetic process"	"F,  P"	EC:2.3.1	"IPR016181 (G3DSA:3.40.630.GENE3D), IPR000182 (PFAM), PTHR23091 (PANTHER), IPR000182 (PROSITE_PROFILES),  IPR016181 (SUPERFAMILY)"	F:GO:0008080	F:N-acetyltransferase activity
FVEG_00254	short-chain dehydrogenase reductase protein	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR002347 (PRINTS), IPR002198 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR24320 (PANTHER), PTHR24320:SF60 (PANTHER),  SSF51735 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_00265	hypothetical protein FVEG_00265					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_00268	hypothetical protein FVEG_00268					no IPS match	no IPS match	no IPS match
FVEG_00270	heterokaryon incompatibility protein or allele					"IPR010730 (PFAM), PTHR24148 (PANTHER),  PTHR24148:SF16 (PANTHER)"	no GO terms	no GO terms
FVEG_00280	zinc finger protein 271-like	"GO:0046872,  GO:0003676"	"metal ion binding,  nucleic acid binding"	"F,  F"		"Coil (COILS), IPR015880 (SMART), PF13912 (PFAM), PF13894 (PFAM), PF12874 (PFAM), PF12756 (PFAM), IPR007087 (PFAM), IPR013087 (G3DSA:3.30.160.GENE3D), PTHR24375 (PANTHER), IPR007087 (PROSITE_PATTERNS), IPR007087 (PROSITE_PROFILES),  SSF57667 (SUPERFAMILY)"	"F:GO:0046872,  F:GO:0003676"	"F:metal ion binding, F:nucleic acid binding"
FVEG_00314	zinc-binding dehydrogenase-like protein	"GO:0008270, GO:0016491,  GO:0055114"	"zinc ion binding, oxidoreductase activity,  oxidation-reduction process"	"F, F,  P"		"IPR013154 (PFAM), IPR011032 (G3DSA:3.90.180.GENE3D), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002085 (PANTHER), SSF51735 (SUPERFAMILY),  IPR011032 (SUPERFAMILY)"	"P:GO:0055114, F:GO:0016491,  F:GO:0008270"	"P:oxidation-reduction process, F:oxidoreductase activity, F:zinc ion binding"
FVEG_00325	bidomain nonribosomal peptide synthase-like partial					"Coil (COILS), IPR001242 (PFAM), PTHR24095 (PANTHER),  SSF52777 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_00330	orf20 protein					PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
FVEG_00386	hypothetical protein FVEG_00386					"SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_00401	hypothetical protein FVEG_00401					no IPS match	no IPS match	no IPS match
FVEG_00422	hypothetical protein FVEG_00422	"GO:0046872,  GO:0003676"	"metal ion binding,  nucleic acid binding"	"F,  F"		"IPR015880 (SMART), IPR007087 (PFAM), IPR013087 (G3DSA:3.30.160.GENE3D), IPR007087 (PROSITE_PATTERNS), IPR007087 (PROSITE_PROFILES),  SSF57667 (SUPERFAMILY)"	"F:GO:0046872,  F:GO:0003676"	"F:metal ion binding, F:nucleic acid binding"
FVEG_00424	arginyl-trna synthetase	"GO:0005737, GO:0004814, GO:0006420, GO:0005524, GO:0006525,  GO:0006560"	"cytoplasm, arginine-tRNA ligase activity, arginyl-tRNA aminoacylation, ATP binding, arginine metabolic process,  proline metabolic process"	"C, F, P, F, P,  P"	EC:6.1.1.19	"IPR001278 (PRINTS), IPR008909 (SMART), IPR005148 (G3DSA:3.30.1360.GENE3D), IPR008909 (PFAM), IPR014729 (G3DSA:3.40.50.GENE3D), IPR009080 (G3DSA:1.10.730.GENE3D), IPR001278 (PFAM), IPR001278 (TIGRFAM), IPR001278 (PANTHER), PTHR11956:SF3 (PANTHER), SSF52374 (SUPERFAMILY), IPR009080 (SUPERFAMILY),  IPR005148 (SUPERFAMILY)"	"P:GO:0006420, F:GO:0005524, F:GO:0004814, C:GO:0005737, F:GO:0000166, P:GO:0006418,  F:GO:0004812"	"P:arginyl-tRNA aminoacylation, F:ATP binding, F:arginine-tRNA ligase activity, C:cytoplasm, F:nucleotide binding, P:tRNA aminoacylation for protein translation, F:aminoacyl-tRNA ligase activity"
FVEG_00427	hypothetical protein FVEG_00427					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_00464	hypothetical protein FVEG_00464					no IPS match	no IPS match	no IPS match
FVEG_00522	atpase family aaa domain-containing protein 3b	"GO:0017111,  GO:0005524"	"nucleoside-triphosphatase activity,  ATP binding"	"F,  F"	EC:3.6.1.15	"IPR003593 (SMART), IPR003959 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), PTHR23077:SF47 (PANTHER), PTHR23077 (PANTHER),  IPR027417 (SUPERFAMILY)"	"F:GO:0000166, F:GO:0017111,  F:GO:0005524"	"F:nucleotide binding, F:nucleoside-triphosphatase activity, F:ATP binding"
FVEG_00584	hypothetical protein FVEG_00584					no IPS match	no IPS match	no IPS match
FVEG_00585	aldehyde dehydrogenase	"GO:0072686, GO:0016620, GO:0042729, GO:0030472,  GO:0055114"	"mitotic spindle, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor, DASH complex, mitotic spindle organization in nucleus,  oxidation-reduction process"	"C, F, C, P,  P"		"IPR015590 (PFAM), IPR016162 (G3DSA:3.40.605.GENE3D), IPR016163 (G3DSA:3.40.309.GENE3D), IPR015657 (PTHR11699:PANTHER), PTHR11699 (PANTHER), IPR029510 (PROSITE_PATTERNS), IPR016160 (PROSITE_PATTERNS),  IPR016161 (SUPERFAMILY)"	"F:GO:0016491, P:GO:0055114, P:GO:0008152,  F:GO:0016620"	"F:oxidoreductase activity, P:oxidation-reduction process, P:metabolic process, F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
FVEG_00638	hypothetical protein FVEG_00638					no IPS match	no IPS match	no IPS match
FVEG_00717	carnitine o-acetyltransferase	GO:0016746	"transferase activity, transferring acyl groups"	F		"IPR000542 (PFAM), PTHR22589:SF29 (PANTHER), IPR000542 (PANTHER), IPR000542 (PROSITE_PATTERNS),  SSF52777 (SUPERFAMILY)"	F:GO:0016746	"F:transferase activity, transferring acyl groups"
